x	y	RindeSoja	Elevacion	CEa30	CEa90	RindeMaiz	NDVI_1	NDVI_2	NDVI_3
509631.469	6290564.516	3.63118	137.109	51.7517	52.5129	4.44573	0.5	0.528331	0.130435
509651.469	6290564.516	5.38856	136.737	51.682	55.0733	6.77835	0.5	0.528331	0.131707
509671.469	6290564.516	6.244	136.607	50.0241	53.0435	7.993	0.490909	0.520994	0.15122
509691.469	6290564.516	6.06231	136.569	50.1278	52.0205	9.14753	0.514019	0.452707	0.145631
509711.469	6290564.516	5.65865	136.626	51.6381	52.785	8.97741	0.514019	0.452707	0.15122
509731.469	6290564.516	3.33087	136.791	51.4983	52.0213	6.29415	0.434343	0.428087	0.141463
509751.469	6290564.516	2.0645	136.999	52.1657	47.9717	3.68819	0.391304	0.441119	0.137255
509771.469	6290564.516	1.70167	137.247	51.3611	46.7358	2.3228	0.391304	0.441119	0.121951
509791.469	6290564.516	1.36005	137.434	49.9589	47.3579	1.60163	0.372093	0.443063	0.127451
509811.469	6290564.516	1.13411	137.618	47.1987	44.0039	2.16032	0.365854	0.455864	0.131707
509831.469	6290564.516	1.23677	137.827	47.2119	41.8657	1.83616	0.365854	0.455864	0.126214
509851.469	6290564.516	1.37158	138.045	49.8168	42.9973	1.27469	0.341463	0.477299	0.120773
509871.469	6290564.516	1.43505	138.199	48.0149	45.6776	1.2775	0.333333	0.485018	0.130435
509891.469	6290564.516	1.14324	138.425	47.4451	47.0185	1.17466	0.333333	0.485018	0.128713
509911.469	6290564.516	2.0551	138.805	48.867	45.5318	1.26023	0.389474	0.297412	0.121212
509291.469	6290544.516	3.61858	138.326	50.7518	45.945	1.6377	0.326087	0.424472	0.142857
509311.469	6290544.516	3.95313	138.256	49.7427	44.619	2.14534	0.372093	0.457888	0.130435
509331.469	6290544.516	3.90075	138.263	48.9734	44.8515	1.66584	0.333333	0.450893	0.131707
509351.469	6290544.516	4.01152	138.275	47.6549	45.1625	1.49178	0.333333	0.450893	0.135922
509371.469	6290544.516	4.39264	138.261	49.9335	45.2649	2.69352	0.311828	0.437287	0.130435
509391.469	6290544.516	4.64295	138.173	52.7401	47.5703	3.54353	0.318681	0.440278	0.131707
509411.469	6290544.516	4.65241	138.072	53.224	48.1896	3.60943	0.318681	0.440278	0.127451
509431.469	6290544.516	4.20563	137.99	52.3712	48.0871	2.3518	0.340909	0.479263	0.131707
509451.469	6290544.516	4.46315	137.979	52.3268	49.8221	1.25192	0.340909	0.482233	0.130435
509471.469	6290544.516	4.27342	138.003	52.4249	47.8125	1.13958	0.340909	0.482233	0.137255
509491.469	6290544.516	2.98084	138.072	50.1145	45.7992	2.05057	0.325843	0.452453	0.141463
509511.469	6290544.516	2.423	138.285	47.7855	43.8578	2.963	0.318182	0.433025	0.129187
509531.469	6290544.516	1.56104	138.57	46.7496	42.8369	2.4495	0.318182	0.433025	0.129187
509551.469	6290544.516	1.34015	138.78	45.5822	41.8846	2.53302	0.311111	0.421829	0.138756
509571.469	6290544.516	1.59276	138.663	44.6167	40.4699	3.07586	0.340426	0.420617	0.12381
509591.469	6290544.516	1.41023	138.191	47.3439	42.1959	3.84398	0.340426	0.420617	0.138756
509611.469	6290544.516	2.20781	137.576	51.757	46.611	3.96446	0.443299	0.465825	0.129187
509631.469	6290544.516	4.17473	137.131	53.2467	53.1799	4.88627	0.469388	0.521068	0.135922
509651.469	6290544.516	5.26129	136.802	53.7896	55.4975	5.6731	0.469388	0.521068	0.141463
509671.469	6290544.516	6.07625	136.698	53.2916	54.1861	6.50384	0.495146	0.465671	0.15534
509691.469	6290544.516	6.17114	136.677	53.471	53.3486	7.40929	0.465347	0.429131	0.15122
509711.469	6290544.516	5.21058	136.727	52.9499	52.3476	8.11127	0.465347	0.429131	0.145631
509731.469	6290544.516	2.99335	136.896	49.9533	49.5326	7.04579	0.382979	0.41991	0.141463
509751.469	6290544.516	1.53761	137.098	47.8161	45.9547	4.48071	0.369565	0.441398	0.147059
509771.469	6290544.516	1.48877	137.304	47.6298	45.2822	2.85825	0.369565	0.441398	0.123153
509791.469	6290544.516	1.74727	137.407	48.135	46.395	2.08237	0.395349	0.484582	0.127451
509811.469	6290544.516	1.9951	137.515	47.7036	44.9262	1.65871	0.364706	0.497726	0.131707
509831.469	6290544.516	1.74776	137.663	48.7013	44.4311	1.30824	0.364706	0.497726	0.120773
509851.469	6290544.516	2.1952	137.837	49.0493	45.1398	1.12301	0.349398	0.481705	0.120773
509871.469	6290544.516	1.75193	138	47.6674	47.1084	1.19288	0.356322	0.480805	0.133005
509891.469	6290544.516	1.26146	138.223	47.3871	47.9862	1.23711	0.356322	0.480805	0.121212
509911.469	6290544.516	1.99883	138.613	47.8687	46.1578	1.29797	0.44	0.266245	0.112245
509291.469	6290524.516	2.87961	138.535	50.0297	44.7336	1.4225	0.326087	0.424472	0.13242
509311.469	6290524.516	3.0139	138.432	49.0528	44.3601	1.49715	0.372093	0.457888	0.114286
509331.469	6290524.516	2.94971	138.401	49.5356	44.9472	1.53514	0.333333	0.450893	0.126214
509351.469	6290524.516	3.4878	138.394	49.5616	45.3879	2.29777	0.333333	0.450893	0.135922
509371.469	6290524.516	3.72829	138.357	49.9424	45.1293	3.31354	0.311828	0.437287	0.131707
509391.469	6290524.516	3.68419	138.233	51.3533	46.1205	3.59188	0.318681	0.440278	0.126214
509411.469	6290524.516	4.13957	138.105	50.2664	46.0715	3.5322	0.318681	0.440278	0.127451
509431.469	6290524.516	4.18914	137.997	50.1746	46.96	3.07479	0.340909	0.479263	0.131707
509451.469	6290524.516	4.21696	137.964	52.0196	49.6166	2.05659	0.340909	0.482233	0.135922
509471.469	6290524.516	3.79317	137.964	52.1783	47.175	1.21788	0.340909	0.482233	0.140097
509491.469	6290524.516	3.88213	138.02	49.5186	45.2103	1.83594	0.325843	0.452453	0.140097
509511.469	6290524.516	3.62152	138.191	48.8272	43.7254	3.00248	0.318182	0.433025	0.134615
509531.469	6290524.516	3.1275	138.451	47.1335	42.584	2.36554	0.318182	0.433025	0.144231
509551.469	6290524.516	3.00296	138.604	45.2615	41.0468	2.30618	0.311111	0.421829	0.134615
509571.469	6290524.516	2.63702	138.504	45.4582	40.8939	3.04402	0.340426	0.420617	0.130435
509591.469	6290524.516	2.11863	138.078	48.542	43.1608	3.49795	0.340426	0.420617	0.127962
509611.469	6290524.516	3.40918	137.577	52.5826	47.3586	3.31944	0.443299	0.465825	0.127962
509631.469	6290524.516	5.30548	137.166	55.8964	52.7923	3.51746	0.469388	0.521068	0.133333
509651.469	6290524.516	6.02849	136.899	56.8354	54.7049	4.47755	0.469388	0.521068	0.140097
509671.469	6290524.516	6.16859	136.819	56.6951	54.2809	5.43813	0.495146	0.465671	0.15122
509691.469	6290524.516	5.71493	136.834	56.4627	54.2467	6.06862	0.465347	0.429131	0.15122
509711.469	6290524.516	4.74231	136.905	54.6264	52.5179	5.78026	0.465347	0.429131	0.141463
509731.469	6290524.516	2.89939	137.071	49.9861	47.8975	5.81672	0.382979	0.41991	0.141463
509751.469	6290524.516	1.30089	137.26	46.8091	44.1803	5.18579	0.369565	0.441398	0.137255
509771.469	6290524.516	1.44945	137.386	48.0387	44.8024	3.76669	0.369565	0.441398	0.131707
509791.469	6290524.516	2.21635	137.39	50.3184	46.9979	2.36612	0.395349	0.484582	0.131707
509811.469	6290524.516	3.50266	137.413	52.239	47.7317	1.58054	0.364706	0.497726	0.137255
509831.469	6290524.516	3.45402	137.503	52.5095	47.0075	1.31694	0.364706	0.497726	0.133005
509851.469	6290524.516	3.02235	137.628	50.4592	47.1181	1.20348	0.349398	0.481705	0.121951
509871.469	6290524.516	2.69177	137.788	48.8507	48.7551	1.19999	0.356322	0.480805	0.128713
509891.469	6290524.516	1.65506	137.993	48.8153	48.7094	1.29908	0.356322	0.480805	0.115578
509911.469	6290524.516	3.20977	138.372	48.9936	46.0617	1.61391	0.44	0.266245	0.121212
509271.469	6290504.516	2.0563	139.047	48.9211	42.2666	1.23144	0.325843	0.436753	0.134921
509291.469	6290504.516	2.57541	138.754	48.5191	43.36	1.58559	0.325843	0.436753	0.137441
509311.469	6290504.516	3.67242	138.609	48.8612	43.4095	2.64662	0.364706	0.465067	0.134615
509331.469	6290504.516	3.32694	138.531	49.8002	45.5727	1.30143	0.333333	0.461738	0.130435
509351.469	6290504.516	3.3999	138.507	49.2145	46.1548	1.53821	0.333333	0.461738	0.137255
509371.469	6290504.516	3.40603	138.455	48.8805	45.0827	3.24765	0.304348	0.44263	0.131707
509391.469	6290504.516	3.14432	138.305	50.4212	43.6779	4.37897	0.304348	0.444709	0.127451
509411.469	6290504.516	3.28914	138.144	49.5707	43.6292	4.21635	0.304348	0.444709	0.126214
509431.469	6290504.516	3.17766	138.01	49.0771	45.4436	3.05249	0.340909	0.472373	0.120773
509451.469	6290504.516	3.40893	137.944	51.8205	48.2731	1.97302	0.340909	0.484444	0.141463
509471.469	6290504.516	3.88331	137.92	52.2747	45.3928	2.10581	0.340909	0.484444	0.141463
509491.469	6290504.516	4.12426	137.964	50.5516	44.4274	2.836	0.333333	0.460818	0.140097
509511.469	6290504.516	4.28941	138.094	50.3412	44.1374	3.29278	0.318681	0.437687	0.140097
509531.469	6290504.516	3.71759	138.318	47.877	42.9422	2.81863	0.318681	0.437687	0.134615
509551.469	6290504.516	3.20365	138.428	46.9546	41.2403	2.18928	0.304348	0.420526	0.135922
509571.469	6290504.516	3.65702	138.348	47.3287	41.6012	2.74237	0.340426	0.435507	0.135922
509591.469	6290504.516	4.55245	137.965	49.708	43.7944	3.98501	0.340426	0.435507	0.134615
509611.469	6290504.516	5.68629	137.569	53.4151	47.7007	4.31448	0.404255	0.480768	0.125
509631.469	6290504.516	6.05321	137.205	57.4094	52.2755	3.84762	0.425532	0.488188	0.135922
