"VUT" "x" "y" "d_bpriv" "d_centro" "d_educ" "d_espverd" "d_ffcc" "d_supcom" "d_indust" "d_ruta" "d_viasprin" "d_viassec" "d_depre" "d_front" "g_comercio" "g_por_bald" "g_porc_edi"
"63" 1150 4587184.00899999 6525008.58 1055.75347 1899.32385999999 1073.92179 323.58323 772.816289999999 3245.23172 3877.44444999999 3541.51657999999 561.21419 352.30223 3538.40745999999 2160.35946 0 0.53529 0.19509
"64" 1331 4588312.837 6523415.747 2341.91325999999 790.73229 556.622449999999 68.7571499999999 445.77762 3949.17925 4092.54494999999 4938.75676 661.28623 21.1574099999999 3640.17720999999 628.32806 2 0.17827 0.33421
"65" 1450 4588208.28799999 6523206.989 2566.63693999999 599.22073 347.0162 283.389149999999 224.01839 3849.61454 3941.09922 4876.06321 436.187349999999 52.9254699999999 3484.23 669.1947 3 0.09 0.45426
"66" 1556 4587808.13499999 6523451.34599999 2402.09502 498.362639999999 428.1542 569.73797 117.535579999999 3444.79473999999 3618.32762 4436.56333999999 597.983389999999 63.30176 3172.01454999999 1122.32184 6 0.07968 0.49292
"67" 1654 4587849.053 6523464.32699999 2381.63353 524.460419999999 433.452719999999 529.30691 155.42992 3485.91157 3661.25451999999 4474.24280999999 618.67978 100.91231 3214.90673999999 1086.78214 4 0.08567 0.49101
"68" 2574 4587623.11799999 6523560.387 2329.88765999999 565.64575 503.747239999999 411.486049999999 63.36927 3263.22859999999 3478.96738999999 4234.10681 507.761669999999 139.64436 3039.74249 1330.70224 1 0.07222 0.52909
"69" 6162 4587437.148 6523434.28 2488.79095999999 405.4556 364.19495 250.043849999999 156.99392 3073.62818999999 3261.18136 4075.68782 361.508519999999 13.2657399999999 2819.57918999999 1473.13255 3 0.05 0.65861
"70" 4256 4587473.116 6523404.53799999 2511.21963999999 383.360569999999 410.323599999999 291.046589999999 152.893319999999 3109.43949 3285.45838 4116.68029999999 396.739599999999 35.3884899999999 2841.96358 1430.18843999999 6 0.05239 0.65892
"71" 3788 4587240.57199999 6523472.979 2487.92783 404.774069999999 186.878649999999 49.69525 268.158509999999 2877.74143999999 3090.33383 3875.33937999999 175.63434 13.804 2654.41667 1672.59434 4 0.03077 0.71626
"72" 2990 4587841.22599999 6523170.489 2671.67828999999 268.52172 150.82964 401.136579999999 59.69187 3485.32594999999 3575.15599999999 4523.07448 328.94333 150.315529999999 3119.58701 1010.73896999999 2 0.08488 0.56677
"73" 3660 4587743.665 6523154.559 2705.71489999999 198.39536 202.57292 359.544129999999 139.429699999999 3389.12069 3476.54997 4430.47098 294.323489999999 57.7601599999999 3021.21912999999 1099.74585 0 0.07884 0.62537
"74" 4421 4587470.855 6523134.512 2776.82990999999 118.15504 265.262479999999 237.091379999999 344.807929999999 3118.77329999999 3206.8036 4166.76069 221.56361 205.9378 2753.03666999999 1355.57098999999 7 0.07398 0.8443
"75" 5568 4587219.855 6523160.468 2798.65641 94.2845599999999 191.058459999999 243.4255 504.535169999999 2866.47281999999 2971.0407 3915.50205 189.898959999999 324.318919999999 2520.878 1604.01126999999 13 0.07119 1.01762
"76" 3071 4588279.065 6522679.007 3071.81019999999 669.869609999999 494.559039999999 32.74166 99.4189999999999 3981.79689 3931.36463 5048.09429 32.19859 365.515139999999 3466.84043 453.957929999999 2 0.05333 0.49797
"77" 909 4588153.74899999 6525782.313 47.76793 2848.52169999999 1417.91753999999 223.11061 2003.53103 4474.91320999999 5114.87023 4356.47365999999 1511.13358999999 441.437419999999 4766.0509 1681.75179 0 0.40333 0.14363
"78" 2009 4585129.466 6522808.95199999 1389.57593999999 698.6385 159.91854 74.50297 471.35619 873.71049 894.656169999999 1944.59852999999 439.842159999999 120.019469999999 533.32817 3512.0462 3 0.12469 0.52368
"79" 1870 4585423.08 6522724.074 1686.27025 456.437959999999 208.813839999999 70.30437 450.38562 1179.27354999999 1125.56348 2249.19615999999 338.626199999999 94.4147399999999 693.98391 3206.42009 0 0.08402 0.58509
"80" 3385 4585638.89499999 6522669.012 1902.81032 342.683879999999 65.1767499999999 276.25574 438.37083 1401.76390999999 1316.63313999999 2471.63677999999 116.134399999999 81.1163499999999 866.022429999999 2983.86734999999 4 0.07621 0.63532
"81" 2452 4585669.63399999 6522436.803 2044.87547999999 547.336419999999 209.853209999999 265.12326 216.401129999999 1513.23550999999 1311.02013 2547.66224 39.3104299999999 140.360359999999 846.25615 2889.35793999999 22 0.106 0.58549
"82" 1233 4584752.68499999 6521697.18599999 2007.01307999999 1651.60095999999 1004.82315 235.031939999999 692.013619999999 1449.30925999999 524.40097 1792.40466999999 795.801219999999 566.492259999999 540.897799999999 3572.01006999999 0 0.24788 0.34946
"83" 1524 4585056.74199999 6522898.11699999 1281.57571 756.56694 162.792409999999 153.112719999999 544.60131 780.003249999999 885.319569999999 1855.68738 366.627659999999 192.947859999999 575.975149999999 3607.20091 2 0.16264 0.42334
"84" 4963 4586469.967 6522875.854 2610.21783 0 397.40257 116.99706 811.14255 2169.14863999999 2173.05792999999 3239.2923 73.83131 160.793039999999 1719.93105999999 2246.55002 10 0.04849 0.91518
"85" 8523 4586890.622 6522673.393 3069.65016 80.49491 166.998169999999 188.832809999999 692.700939999999 2621.73397 2549.72244 3697.75356 38.16029 317.059959999999 2086.75032 1785.57003 10 0.06505 0.99375
"86" 3295 4585968.99199999 6522803.599 2152.62256999999 128.838089999999 302.829119999999 323.69162 641.080289999999 1692.64140999999 1670.26956999999 2768.62354 181.25752 278.2463 1222.34627999999 2705.97096999999 6 0.03512 0.59819
"87" 5528 4586770.479 6522517.04499999 3003.79214 256.92279 56.90878 70.78041 516.31109 2535.58287999999 2414.77264999999 3610.9346 125.062659999999 154.275949999999 1950.01333999999 1856.01903999999 11 0.04303 0.86918
"88" 6566 4586375.13599999 6522449.264 2662.0987 399.015609999999 346.23311 405.53973 374.22079 2170.09837 2016.09048 3236.78562 508.481749999999 10.91698 1551.15433 2215.5318 4 0.01034 0.63394
"89" 3547 4586155.262 6522567.82 2413.06905 324.669309999999 461.32744 505.5862 446.87205 1926.08916999999 1806.94694 2997.81781 410.027179999999 83.5453799999999 1343.85581 2460.10312 19 0.02784 0.61754
"90" 1639 4586800.536 6521929.813 3276.11567999999 827.584519999999 330.671109999999 354.04773 54.41179 2752.52925999999 2474.97843 3756.45704999999 523.7924 50.43104 2023.10248999999 1663.8839 1 0.03951 0.48494
"91" 1800 4585795.04999999 6521498.86099999 2751.04149999999 1442.76811999999 786.096329999999 266.99187 672.25832 2173.22467 1575.14623 2853.4479 265.248969999999 563.24067 1303.31727 2511.82045 2 0.21435 0.30754
"92" 3078 4588018.241 6522657.60599999 3141.99602999999 418.044309999999 283.22491 38.98565 298.92439 3729.84369999999 3669.66472999999 4796.99254999999 12.73635 113.575739999999 3205.14750999999 699.173999999999 1 0.04797 0.60104
"93" 5745 4587047.461 6522642.13999999 3228.99072999999 81.19531 196.912229999999 153.997099999999 692.34838 2781.65500999999 2701.81042999999 3857.25167999999 121.76146 331.71186 2238.03314 1626.3411 10 0.06614 1.00684
"94" 2264 4587951.06699999 6522464.02699999 3344.76764 398.093579999999 110.654439999999 234.972739999999 483.33483 3702.63038 3591.38765 4776.24211999999 190.23256 85.1452 3126.48154999999 709.533379999999 7 0.03855 0.61698
"95" 3990 4587396.03899999 6522468.55999999 3444.94635999999 184.95329 239.110309999999 342.79284 589.5247 3157.82778999999 3036.86356999999 4233.73833 294.403759999999 150.58963 2571.92479999999 1242.69310999999 11 0.04506 0.80511
"96" 2587 4587623.84399999 6522385.18699999 3483.87996 238.23238 154.59717 331.41779 549.918779999999 3397.59902 3262.54329 4473.52707 331.607449999999 89.1157299999999 2797.89424999999 1000.56235 2 0.03061 0.65914
"97" 3542 4587636.94 6522319.983 3545.4463 304.708939999999 88.91831 264.91919 488.282039999999 3424.16881999999 3275.58807999999 4499.25211 392.987939999999 114.70922 2811.40365 969.3766 3 0.03962 0.64736
"98" 1287 4588228.855 6522169.58499999 3581.56449 785.97365 260.4845 459.096209999999 456.917829999999 4034.70094999999 3871.57178999999 5109.21565 423.313429999999 101.22566 3408.78591999999 359.16725 2 0.08974 0.49298
"99" 1299 4588425.672 6522102.446 3612.67326 987.418159999999 105.23044 519.80438 403.598299999999 4241.60718999999 4071.71586999999 5315.41989999999 365.8244 74.5532199999999 3609.64206 151.371039999999 5 0.12419 0.46095
"100" 1981 4588102.751 6522185.114 3590.08534 676.379369999999 355.30461 360.154729999999 447.64897 3908.34293999999 3744.89345999999 4982.52973 433.978909999999 91.8001399999999 3281.99602 484.449799999999 2 0.06976 0.50803
"101" 4335 4587432.932 6522321.18499999 3582.7237 322.559689999999 97.3701899999999 363.150109999999 451.56812 3225.18377 3071.57700999999 4299.02970999999 431.71866 85.59618 2607.40733 1165.22073999999 8 0.03963 0.66829
"102" 2880 4587430.11 6521984.19699999 3815.02493999999 653.875149999999 213.1862 111.51255 119.92037 3317.27088 3090.34853 4362.86474999999 716.11733 22.43062 2632.6017 1072.00545 2 0.09212 0.50342
"103" 1047 4587121.29999999 6521894.025 3575.52840999999 801.40633 416.93817 190.80937 26.75319 3060.84412 2797.22670999999 4077.96639 601.871499999999 53.9153299999999 2344.22112 1345.26614999999 5 0.09671 0.46603
"104" 1099 4587247.741 6521858.07699999 3704.46408999999 812.52602 377.684309999999 74.3307099999999 37.8806 3191.41440999999 2927.87426 4209.01814999999 692.38098 64.65487 2475.34729 1213.81619999999 1 0.12392 0.43902
"105" 1538 4588028.347 6521617.808 4161.24686 1096.11614 548.29538 163.833339999999 123.244979999999 4005.41715 3739.23147 5021.71360999999 992.41318 19.5969599999999 3289.60134 397.37153 3 0.2961 0.29301
"106" 631 4588233.41299999 6521381.09599999 4355.71010999999 1398.56797 644.98265 176.974089999999 316.091729999999 4284.95277999999 3986.11221999999 5268.64321999999 1086.98172999999 211.218459999999 3548.13104 136.205279999999 3 0.40692 0.21558
"107" 916 4587742.23 6521162.694 4477.64760999999 1465.98774 151.48625 373.51328 625.80506 3939.71079999999 3546.99576999999 4828.89195 1507.30061999999 521.7214 3156.41969 545.795859999999 0 0.40271 0.18137
"108" 855 4587932.05399999 6521326.797 4465.19240999999 1339.19679999999 356.897829999999 122.761359999999 427.475239999999 4033.05072 3700.89089999999 4983.44632 1282.29059 323.77807 3276.69349999999 409.97935 1 0.43188 0.17729
"109" 1042 4587908.841 6521265.33 4529.93303 1393.073 317.98583 181.774169999999 492.31364 4039.26791 3689.97301 4972.54262999999 1346.07733 388.589659999999 3274.92437 414.89497 1 0.41623 0.17379
"110" 753 4587723.5 6521391.73699999 4344.36948 1236.27187 225.96556 306.55552 404.95972 3817.07247 3483.72647 4766.27674999999 1286.32031 300.703089999999 3058.32103 628.38322 1 0.35547 0.21274
"111" 836 4587719.14099999 6521449.62999999 4312.29783 1178.25699 273.82611 314.57227 349.064459999999 3787.99281 3468.28058 4750.81859999999 1230.39517 244.7322 3036.13664 648.909779999999 2 0.34461 0.22296
"112" 792 4587797.71899999 6521378.171 4415.69531999999 1260.14472999999 265.52298 233.31035 403.61516 3889.73396 3559.16796 4841.71802 1285.13886999999 299.562079999999 3132.99706 553.35423 2 0.37627 0.20439
"113" 1139 4588011.882 6521388.802 4389.25068999999 1303.33993 454.17633 21.72464 351.103689999999 4079.16813 3767.25635 5049.79507 1186.13707999999 247.437039999999 3333.67988999999 350.90374 1 0.40988 0.19644
