g_gas	g_agua	g_cloaca	g_perc_baldio	g_comercio	g_sellos	g_perc_edif	d_bpriv	d_centro	d_educ	d_espverd	d_ffcc	d_supcom	d_indust	d_ruta	d_viasprin	d_viassec	d_depre	d_front	x	y	g_vial	d_sube	cod_baja	d_baja
0	0,979359185387	0,5	0,459	0	0,02381	0,10296	2001,91355612999	3045,52370119999	2189,16776961999	1237,54547518999	1677,07103452	1794,75738944999	0	128,044273024999	1960,6302779	341,230164534999	1291,50965285	5240,99280894	4583051,9937	6521674,60744	1	3045,52370119999	d_depre	1291,50966099147
0,5	0,851320565947	1	0,416	1	0,0137	0,145346666667	1660,69381752999	2856,55379093	1981,84373159999	1019,62005512999	1428,69769036999	1495,50514242999	0	128,831761994999	1619,39977223	8,16415669E-6	1182,44848277	5234,97802042999	4583118,62057999	6522009,27013999	0,75602484144	2856,55379093	d_depre	1182,44846270793
0,5	0,816430151509	0,070850263031	0,475	0	0,01538	0,103695454545	2065,65449059	2983,85939870999	2139,58658642	1203,47827809	1634,82521072999	1802,75513686999	0	255,504356085	2025,37641241999	405,803898843	1210,58372284999	5117,29631866999	4583164,49337999	6521586,18271999	0,781005139158	2983,85939870999	d_depre	1210,58371031023
1	0,573583797589	0,192343447211	0,516363636364	0	0,01325	0,0942090909091	2128,92120175999	2920,28219501	2091,80573324999	1180,51378509	1595,83105601	1818,77778476999	0	392,767625803999	2089,72536591	470,536585509	1133,9179704	4984,83385083	4583286,68303999	6521496,23299	0,416665511133	2920,28219501	d_depre	1133,91800053976
0,5	0,979359185387	0,898232169941	0,44619047619	0	0,01739	0,121147619048	1830,58384660999	2841,79189609	1980,9476368	1026,09536810999	1464,33064656	1585,91433626	0	256,875926782	1790,30494941999	170,731542934	1105,67043757999	5106,79376321	4583211,21533	6521816,56570999	0,949218027719	2841,79189609	d_depre	1105,67047357268
1	0,816430151509	0,469082432972	0,429545454545	0	0,0125	0,125181818182	2000,15664771999	2836,43016236999	1996,98321972999	1071,00384546999	1495,36371738999	1695,72860510999	0	393,324121304	1960,95895470999	341,771460483999	1059,64188985	4976,08200902	4583312,10046999	6521622,46616999	0,730223166877	2836,43016236999	d_depre	1059,64185448023
1	0,949104486163	0,807135832637	0,362631578947	0	0,01408	0,162631578947	1658,40220806	2632,73199346	1767,40379693999	809,417360013	1245,9205609	1374,7713593	0	393,409446523999	1619,18820204	8,725853993E-6	924,016319937	4970,43422186	4583378,14312	6521957,79609	0,72600961486	2632,73199346	d_depre	924,016342955599
1	0,790174595325	0,332179512362	0,419130434783	0	0,0119	0,133991304348	2063,42335889	2774,79945201999	1953,28113452	1059,1727025	1462,76473934999	1721,3560918	0	530,586261734	2025,30790819999	406,496697663	986,226492261999	4842,80743099	4583434,29012999	6521532,51644999	0,3023076	2774,79945201999	d_depre	986,226493853381
1	1	0,802437663568	0,384782608696	0	0,0117	0,146726086957	1936,75036524	2691,28480449	1857,79108152	946,526115464999	1360,58664077	1598,17762564999	0	530,593172205999	1898,62875463999	279,818893902	910,669973563999	4836,16333061	4583458,75504	6521656,81108999	0,853423521346	2691,28480449	d_depre	910,670008678912
0	0	0	0,986666666667	0	0	0,00161428571429	1162,10655625	3710,62330414999	2379,33511353999	2025,36053874999	1628,34717129	1949,03094213999	1463,48381107	1129,46873176999	111,311323451	1882,78331746999	2508,55910842	6602,72535899	4582179,85934999	6523733,07837	0,277823669684	3710,62330414999	d_depre	2508,55907719277
0	0	0	0,986666666667	0	0	0,00161428571429	1142,41106934999	3702,66630394	2352,91421381999	1965,77472923	1614,32566528999	1938,84115279	1529,43702196999	1119,57753855999	3,721992422E-6	1967,22754026999	2530,75190216999	6602,96194886	4582211,56087	6523840,27101	0,555647339368	3702,66630394	d_depre	2530,75187567591
